# REM-INV-4A LIVE policies referencing auth helpers 2026-09-13T15:14:33.726Z (n=168)
schema	table	policy	permissive	roles	command	qual	with_check
public	transfers	transfers_tenant_select	PERMISSIVE	{authenticated}	SELECT	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN (tenant_id = current_user_tenant_id()) |     ELSE (is_admin() OR (origin_store_id = ANY (current_user_store_ids())) OR (destination_store_id = ANY (current_user_store_ids()))) | END	
public	user_audit_log	Admins and managers can view user audit logs	PERMISSIVE	{authenticated}	SELECT	(is_admin() OR has_role('manager'::user_role) OR has_role('encargado'::user_role))	
public	user_invitations	user_invitations_insert_admin_manager	PERMISSIVE	{authenticated}	INSERT		(is_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text]))
public	user_invitations	user_invitations_select_own_managed	PERMISSIVE	{authenticated}	SELECT	(is_admin() OR (invited_by = auth.uid()) OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text]))	
public	user_invitations	user_invitations_update_admin_manager	PERMISSIVE	{authenticated}	UPDATE	(is_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text]))	(is_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text]))
public	user_progress	user_progress_delete	PERMISSIVE	{authenticated}	DELETE	((auth.uid() = user_id) OR is_admin())	
public	user_progress	user_progress_select	PERMISSIVE	{authenticated}	SELECT	((auth.uid() = user_id) OR is_admin())	
public	user_store_memberships	memberships_delete_admin	PERMISSIVE	{authenticated}	DELETE	(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text]))	
public	user_store_memberships	memberships_insert_admin_manager	PERMISSIVE	{authenticated}	INSERT		(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text]))
public	user_store_memberships	memberships_select_own_and_managed	PERMISSIVE	{authenticated}	SELECT	((user_id = auth.uid()) OR is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text]))	
public	user_store_memberships	memberships_update_admin	PERMISSIVE	{authenticated}	UPDATE	(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text]))	(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text]))
public	warehouse_stock	whs_delete	PERMISSIVE	{authenticated}	DELETE	has_store_access(store_id)	
public	warehouse_stock	whs_insert	PERMISSIVE	{authenticated}	INSERT		has_store_access(store_id)
public	warehouse_stock	whs_select	PERMISSIVE	{authenticated}	SELECT	has_store_access(store_id)	
public	warehouse_stock	whs_update	PERMISSIVE	{authenticated}	UPDATE	has_store_access(store_id)	
public	warehouses	wh_delete	PERMISSIVE	{authenticated}	DELETE	has_store_access(store_id)	
public	warehouses	wh_insert	PERMISSIVE	{authenticated}	INSERT		has_store_access(store_id)
public	warehouses	wh_select	PERMISSIVE	{authenticated}	SELECT	has_store_access(store_id)	
public	warehouses	wh_update	PERMISSIVE	{authenticated}	UPDATE	has_store_access(store_id)	
public	workers	workers_tenant_select	PERMISSIVE	{authenticated}	SELECT	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids())))) |     ELSE (is_admin() OR (store_id = ANY (current_user_store_ids()))) | END	
public	z_reports	z_reports_select_own	PERMISSIVE	{authenticated}	SELECT	(is_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text]))	
